STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,MALAY,CHINESE,INDIAN,OTHERS,TOTAL
TERENGGANU,P.33,BESUT,N.1,KUALA BESUT,"9,626",104,4,11,"9,745"
TERENGGANU,P.33,BESUT,N.2,KAMPUNG RAJA,"10,468",69,28,56,"10,621"
TERENGGANU,P.33,BESUT,N.3,JERTIH,"10,075",540,34,28,"10,677"
TERENGGANU,P.33,BESUT,N.4,HULU BESUT,"10,017",105,10,7,"10,139"
TERENGGANU,P.34,SETIU,N.5,JABI,"9,803",58,2,31,"9,894"
TERENGGANU,P.34,SETIU,N.6,PERMAISURI,"10,666",102,3,16,"10,787"
TERENGGANU,P.34,SETIU,N.7,LANGKAP,"8,920",2,1,1,"8,924"
TERENGGANU,P.34,SETIU,N.8,BATU RAKIT,"8,158",40,0,20,"8,218"
TERENGGANU,P.35,KUALA NERUS,N.9,TEPUH,"11,682",106,10,1,"11,799"
TERENGGANU,P.35,KUALA NERUS,N.10,TELUK PASU,"10,931",4,2,0,"10,937"
TERENGGANU,P.35,KUALA NERUS,N.11,SEBERANG TAKIR,"9,142",17,27,32,"9,218"
TERENGGANU,P.35,KUALA NERUS,N.12,BUKIT TUNGGAL,"8,255",69,7,3,"8,334"
TERENGGANU,P.36,KUALA TERENGGANU,N.13,WAKAF MEMPELAM,"14,601",64,13,1,"14,679"
TERENGGANU,P.36,KUALA TERENGGANU,N.14,BANDAR,"10,155","6,378",213,82,"16,828"
TERENGGANU,P.36,KUALA TERENGGANU,N.15,LADANG,"11,849","1,162",198,23,"13,232"
TERENGGANU,P.36,KUALA TERENGGANU,N.16,BATU BURUK,"15,619",160,79,7,"15,865"
TERENGGANU,P.37,MARANG,N.17,ALUR LIMBAT,"13,017",331,14,5,"13,367"
TERENGGANU,P.37,MARANG,N.18,BUKIT PAYUNG,"11,280",19,6,0,"11,305"
TERENGGANU,P.37,MARANG,N.19,RU RENDANG,"13,459",122,10,6,"13,597"
TERENGGANU,P.37,MARANG,N.20,PENGKALAN BERANGAN,"12,961",706,12,4,"13,683"
TERENGGANU,P.38,HULU TERENGGANU,N.21,TELEMUNG,"7,767",3,0,18,"7,788"
TERENGGANU,P.38,HULU TERENGGANU,N.22,MANIR,"9,273",75,5,3,"9,356"
TERENGGANU,P.38,HULU TERENGGANU,N.23,KUALA BERANG,"9,109",109,32,5,"9,255"
TERENGGANU,P.38,HULU TERENGGANU,N.24,AJIL,"9,667",107,7,2,"9,783"
TERENGGANU,P.39,DUNGUN,N.25,BUKIT BESI,"7,377",86,32,7,"7,502"
TERENGGANU,P.39,DUNGUN,N.26,RANTAU ABANG,"9,603",131,28,11,"9,773"
TERENGGANU,P.39,DUNGUN,N.27,SURA,"10,735","1,449",171,9,"12,364"
TERENGGANU,P.39,DUNGUN,N.28,PAKA,"10,394",298,45,0,"10,737"
TERENGGANU,P.40,KEMAMAN,N.29,KEMASIK,8732,416,71,0,"9,219"
TERENGGANU,P.40,KEMAMAN,N.30,KIJAL,8542,202,64,0,"8,808"
TERENGGANU,P.40,KEMAMAN,N.31,CUKAI,"11,810","2,940",230,13,"14,993"
TERENGGANU,P.40,KEMAMAN,N.32,BUKIT BANDI,"11,218",459,239,6,"11,922"
