UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,MALAY,NON MALAY BUMIPUTERA,CHINESE,INDIAN,OTHERS,TOTAL ELECTORS,,MALAY (%),NON MALAY BUMIPUTERA (%),CHINESE (%),INDIAN (%),OTHERS (%)
P.16_N.30,KEDAH,P.16,BALING,N.30,BAYU,20371,,1785,423,524,23103,_,88.17,0.00,7.73,1.83,2.27
P.16_N.31,KEDAH,P.16,BALING,N.31,KUPANG,23366,,1475,727,148,25716,_,90.86,0.00,5.74,2.83,0.58
P.17_N.32,KEDAH,P.17,PADANG SERAI,N.32,KUALA KETIL,12044,,1722,3245,93,17104,_,70.42,0.00,10.07,18.97,0.54
P.17_N.33,KEDAH,P.17,PADANG SERAI,N.33,MERBAU PULAS,12252,,3184,4660,50,20146,_,60.82,0.00,15.80,23.13,0.25
P.17_N.34,KEDAH,P.17,PADANG SERAI,N.34,LUNAS,9652,,8503,4291,26,22472,_,42.95,0.00,37.84,19.09,0.12
P.18_N.35,KEDAH,P.18,KULIM-BANDAR BAHARU,N.35,KULIM,12586,,5810,4366,23,22785,_,55.24,0.00,25.50,19.16,0.10
P.18_N.36,KEDAH,P.18,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,14828,,3891,1414,2,20135,_,73.64,0.00,19.32,7.02,0.01
P.19_N.1,KELANTAN,P.19,TUMPAT,N.1,PENGKALAN KUBOR,"12,732",,25,11,"1,292","14,060",_,90.55,0.00,0.18,0.08,9.19
P.19_N.2,KELANTAN,P.19,TUMPAT,N.2,KELABORAN,"12,731",,523,106,"1,629","14,989",_,84.94,0.00,3.49,0.71,10.87
P.19_N.3,KELANTAN,P.19,TUMPAT,N.3,PASIR PEKAN,"14,317",,9,9,16,"14,351",_,99.76,0.00,0.06,0.06,0.11
P.20_N.4,KELANTAN,P.20,PENGKALAN CHEPA,N.4,KIJANG,"12,140",,653,7,23,"12,823",_,94.67,0.00,5.09,0.05,0.18
P.20_N.5,KELANTAN,P.20,PENGKALAN CHEPA,N.5,CHEMPAKA,"14,715",,111,32,8,"14,866",_,98.98,0.00,0.75,0.22,0.05
P.20_N.6,KELANTAN,P.20,PENGKALAN CHEPA,N.6,PANCHOR,"13,569",,198,56,39,"13,862",_,97.89,0.00,1.43,0.40,0.28
P.21_N.7,KELANTAN,P.21,KOTA BHARU,N.7,TANJONG MAS,"15,786",,790,70,32,"16,678",_,94.65,0.00,4.74,0.42,0.19
P.21_N.8,KELANTAN,P.21,KOTA BHARU,N.8,KOTA LAMA,"13,815",,"8,933",445,159,"23,352",_,59.16,0.00,38.25,1.91,0.68
P.21_N.9,KELANTAN,P.21,KOTA BHARU,N.9,BUNUT PAYONG,"14,384",,"1,400",237,34,"16,055",_,89.59,0.00,8.72,1.48,0.21
P.22_N.10,KELANTAN,P.22,PASIR MAS,N.10,WAKAF BHARU,"15,122",,848,9,413,"16,392",_,92.25,0.00,5.17,0.05,2.52
P.22_N.11,KELANTAN,P.22,PASIR MAS,N.11,TENDONG,"13,644",,313,1,53,"14,011",_,97.38,0.00,2.23,0.01,0.38
P.22_N.12,KELANTAN,P.22,PASIR MAS,N.12,PENGKALAN PASIR,"15,087",,720,53,33,"15,893",_,94.93,0.00,4.53,0.33,0.21
P.23_N.13,KELANTAN,P.23,RANTAU PANJANG,N.13,MERANTI,"11,388",,4,0,112,"11,504",_,98.99,0.00,0.03,0.00,0.97
P.23_N.14,KELANTAN,P.23,RANTAU PANJANG,N.14,GUAL PERIOK,"15,284",,252,18,137,"15,691",_,97.41,0.00,1.61,0.11,0.87
P.23_N.15,KELANTAN,P.23,RANTAU PANJANG,N.15,BUKIT TUKU,"13,464",,245,16,303,"14,028",_,95.98,0.00,1.75,0.11,2.16
P.24_N.16,KELANTAN,P.24,KUBANG KERIAN,N.16,SALOR,"13,278",,170,0,81,"13,529",_,98.14,0.00,1.26,0.00,0.60
P.24_N.17,KELANTAN,P.24,KUBANG KERIAN,N.17,PASIR TUMBOH,"11,942",,71,7,17,"12,037",_,99.21,0.00,0.59,0.06,0.14
P.24_N.18,KELANTAN,P.24,KUBANG KERIAN,N.18,KENALI,"15,970",,234,31,35,"16,270",_,98.16,0.00,1.44,0.19,0.22
P.25_N.19,KELANTAN,P.25,BACHOK,N.19,TAWANG,"14,602",,73,0,47,"14,722",_,99.18,0.00,0.50,0.00,0.32
P.25_N.20,KELANTAN,P.25,BACHOK,N.20,PERUPOK,"14,935",,167,1,295,"15,398",_,96.99,0.00,1.08,0.01,1.92
P.25_N.21,KELANTAN,P.25,BACHOK,N.21,JELAWAT,"17,143",,147,1,66,"17,357",_,98.77,0.00,0.85,0.01,0.38
P.26_N.22,KELANTAN,P.26,PERINGAT,N.22,MELOR,"13,247",,243,11,205,"13,706",_,96.65,0.00,1.77,0.08,1.50
P.26_N.23,KELANTAN,P.26,PERINGAT,N.23,KADOK,"11,889",,141,3,86,"12,119",_,98.10,0.00,1.16,0.02,0.71
P.26_N.24,KELANTAN,P.26,PERINGAT,N.24,KETEREH,"13,587",,182,55,216,"14,040",_,96.77,0.00,1.30,0.39,1.54
P.27_N.25,KELANTAN,P.27,TANAH MERAH,N.25,CHETOK,"12,470",,314,0,175,"12,959",_,96.23,0.00,2.42,0.00,1.35
P.27_N.26,KELANTAN,P.27,TANAH MERAH,N.26,BUKIT PANAU,"13,367",,"1,097",37,382,"14,883",_,89.81,0.00,7.37,0.25,2.57
P.27_N.27,KELANTAN,P.27,TANAH MERAH,N.27,GUAL IPOH,"10,692",,221,481,54,"11,448",_,93.40,0.00,1.93,4.20,0.47
P.28_N.28,KELANTAN,P.28,PASIR PUTEH,N.28,SELISING,"13,342",,87,2,37,"13,468",_,99.06,0.00,0.65,0.01,0.27
P.28_N.29,KELANTAN,P.28,PASIR PUTEH,N.29,LIMBONGAN,"14,226",,528,37,77,"14,868",_,95.68,0.00,3.55,0.25,0.52
P.28_N.30,KELANTAN,P.28,PASIR PUTEH,N.30,SEMERAK,"11,385",,35,0,277,"11,697",_,97.33,0.00,0.30,0.00,2.37
P.28_N.31,KELANTAN,P.28,PASIR PUTEH,N.31,GAAL,"11,414",,23,0,92,"11,529",_,99.00,0.00,0.20,0.00,0.80
P.29_N.32,KELANTAN,P.29,MACHANG,N.32,PULAI CHONDONG,"11,700",,475,10,155,"12,340",_,94.81,0.00,3.85,0.08,1.26
P.29_N.33,KELANTAN,P.29,MACHANG,N.33,BANGGOL JUDAH,"12,698",,878,28,87,"13,691",_,92.75,0.00,6.41,0.20,0.64
P.29_N.34,KELANTAN,P.29,MACHANG,N.34,KEMUNING,"11,685",,322,63,96,"12,166",_,96.05,0.00,2.65,0.52,0.79
P.30_N.35,KELANTAN,P.30,JELI,N.35,KEMAHANG,"12,171",,13,16,97,"12,297",_,98.98,0.00,0.11,0.13,0.79
P.30_N.36,KELANTAN,P.30,JELI,N.36,AIR LANAS,"10,447",,5,0,2,"10,454",_,99.93,0.00,0.05,0.00,0.02
