UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,MALAY,NON MALAY BUMIPUTERA,CHINESE,INDIAN,OTHERS,TOTAL ELECTORS,,MALAY (%),NON MALAY BUMIPUTERA (%),CHINESE (%),INDIAN (%),OTHERS (%)
P.55_N.9,PERAK,P.55,BAGAN SERAI,N.9,GUNONG SEMANGGOL,"15,671",,"3,762","2,619",46,"22,098",_,70.92,0.00,17.02,11.85,0.21
P.56_N.10,PERAK,P.56,BUKIT GANTANG,N.10,KUALA SAPETANG,"10,339",,"6,059","1,725",21,"18,144",_,56.98,0.00,33.39,9.51,0.12
P.56_N.11,PERAK,P.56,BUKIT GANTANG,N.11,CHANGKAT JERING,"11,122",,"4,856","1,675",1,"17,654",_,63.00,0.00,27.51,9.49,0.01
P.56_N.12,PERAK,P.56,BUKIT GANTANG,N.12,TRONG,"10,395",,"2,599","1,441",5,"14,440",_,71.99,0.00,18.00,9.98,0.03
P.57_N.13,PERAK,P.57,TAIPING,N.13,KAMUNTING,"11,561",,"2,243","2,048",39,"15,891",_,72.75,0.00,14.11,12.89,0.25
P.57_N.14,PERAK,P.57,TAIPING,N.14,POKOK ASSAM,"3,809",,"18,347","3,127",51,"25,334",_,15.04,0.00,72.42,12.34,0.20
P.57_N.15,PERAK,P.57,TAIPING,N.15,AULONG,"8,182",,"12,362","3,458",116,"24,118",_,33.92,0.00,51.26,14.34,0.48
P.58_N.16,PERAK,P.58,CHENDEROH,N.16,LENGGONG,"11,476",,"3,444",700,6,"15,626",_,73.44,0.00,22.04,4.48,0.04
P.58_N.17,PERAK,P.58,CHENDEROH,N.17,LUBOK MERBAU,"12,671",,"3,621",985,3,"17,280",_,73.33,0.00,20.95,5.70,0.02
P.59_N.18,PERAK,P.59,SUNGAI SIPUT,N.18,LINTANG,"10,478",,"3,422","3,577","1,545","19,022",_,55.08,0.00,17.99,18.80,8.12
P.59_N.19,PERAK,P.59,SUNGAI SIPUT,N.19,JALONG,"2,497",,"15,551","5,296",509,"23,853",_,10.47,0.00,65.20,22.20,2.13
P.60_N.20,PERAK,P.60,TAMBUN,N.20,MANJOI,"17,966",,"7,921","2,787",3,"28,677",_,62.65,0.00,27.62,9.72,0.01
P.60_N.21,PERAK,P.60,TAMBUN,N.21,HULU KINTA,"14,137",,"8,004","3,386",857,"26,384",_,53.58,0.00,30.34,12.83,3.25
P.61_N.22,PERAK,P.61,IPOH TIMOR,N.22,TAMAN CANNING,"3,100",,"20,484","2,051",127,"25,762",_,12.03,0.00,79.51,7.96,0.49
P.61_N.23,PERAK,P.61,IPOH TIMOR,N.23,TEBING TINGGI,"2,787",,"17,128","1,243",26,"21,184",_,13.16,0.00,80.85,5.87,0.12
P.61_N.24,PERAK,P.61,IPOH TIMOR,N.24,PASIR PINJI,"1,105",,"22,668",257,17,"24,047",_,4.60,0.00,94.27,1.07,0.07
P.62_N.25,PERAK,P.62,IPOH BARAT,N.25,BERCHAM,"5,285",,"22,759","3,027",16,"31,087",_,17.00,0.00,73.21,9.74,0.05
P.62_N.26,PERAK,P.62,IPOH BARAT,N.26,BUNTONG,"2,033",,"18,300","10,923",6,"31,262",_,6.50,0.00,58.54,34.94,0.02
P.63_N.27,PERAK,P.63,BATU GAJAH,N.27,MENGLEMBU,"1,106",,"22,845","3,089",7,"27,047",_,4.09,0.00,84.46,11.42,0.03
P.63_N.28,PERAK,P.63,BATU GAJAH,N.28,LAHAT,"6,165",,"19,851","2,549",50,"28,615",_,21.54,0.00,69.37,8.91,0.17
P.64_N.29,PERAK,P.64,KUALA KANGSAR,N.29,BUKIT CHANDAN,"9,728",,"4,736","1,420",427,"16,311",_,59.64,0.00,29.04,8.71,2.62
P.64_N.30,PERAK,P.64,KUALA KANGSAR,N.30,MANONG,"9,911",,"3,817","1,066",3,"14,797",_,66.98,0.00,25.80,7.20,0.02
P.65_N.31,PERAK,P.65,BERUAS,N.31,PENGKALAN BAHARU,"9,652",,"4,220","2,126",4,"16,002",_,60.32,0.00,26.37,13.29,0.02
P.65_N.32,PERAK,P.65,BERUAS,N.32,PANTAI REMIS,"4,056",,"17,269","3,518",8,"24,851",_,16.32,0.00,69.49,14.16,0.03
P.66_N.33,PERAK,P.66,PARIT,N.33,BELANJA,"12,552",,"2,979",804,0,"16,335",_,76.84,0.00,18.24,4.92,0.00
P.66_N.34,PERAK,P.66,PARIT,N.34,BOTA,"12,357",,"3,705",343,9,"16,414",_,75.28,0.00,22.57,2.09,0.05
P.67_N.35,PERAK,P.67,GOPENG,N.35,RAPAT SETIA,"11,633",,"8,417","2,011",162,"22,223",_,52.35,0.00,37.88,9.05,0.73
P.67_N.36,PERAK,P.67,GOPENG,N.36,TEJA,"7,922",,"10,022","1,802","1,123","20,869",_,37.96,0.00,48.02,8.63,5.38
P.68_N.37,PERAK,P.68,KAMPAR,N.37,TUALANG SEKAH,"8,530",,"5,117","2,418",2,"16,067",_,53.09,0.00,31.85,15.05,0.01
P.68_N.38,PERAK,P.68,KAMPAR,N.38,KUALA DIPANG,"2,208",,"15,656","2,019",198,"20,081",_,11.00,0.00,77.96,10.05,0.99
P.68_N.39,PERAK,P.68,KAMPAR,N.39,MALIM NAWAR,"6,410",,"15,713","1,955",274,"24,352",_,26.32,0.00,64.52,8.03,1.13
P.69_N.40,PERAK,P.69,TAPAH,N.40,CHENDERIANG,"5,844",,"7,822","2,342","2,512","18,520",_,31.56,0.00,42.24,12.65,13.56
P.69_N.41,PERAK,P.69,TAPAH,N.41,AYER KUNING,"10,511",,"6,164","2,654","1,209","20,538",_,51.18,0.00,30.01,12.92,5.89
P.70_N.42,PERAK,P.70,PASIR SALAK,N.42,SUNGAI MANIK,"12,816",,"5,734",715,349,"19,614",_,65.34,0.00,29.23,3.65,1.78
P.70_N.43,PERAK,P.70,PASIR SALAK,N.43,KAMPONG GAJAH,"18,401",,473,"1,406",387,"20,667",_,89.04,0.00,2.29,6.80,1.87
P.71_N.44,PERAK,P.71,LUMUT,N.44,PANGKOR,"12,917",,"6,301","1,080",149,"20,447",_,63.17,0.00,30.82,5.28,0.73
P.71_N.45,PERAK,P.71,LUMUT,N.45,PASIR PANJANG,"11,683",,"4,308","3,922",11,"19,924",_,58.64,0.00,21.62,19.68,0.06
P.71_N.46,PERAK,P.71,LUMUT,N.46,SITIAWAN,"1,214",,"17,449","1,862",2,"20,527",_,5.91,0.00,85.01,9.07,0.01
P.72_N.47,PERAK,P.72,BAGAN DATOK,N.47,RUNGKUP,"9,612",,"3,619","2,105",6,"15,342",_,62.65,0.00,23.59,13.72,0.04
P.72_N.48,PERAK,P.72,BAGAN DATOK,N.48,HUTAN MELINTANG,"9,842",,"3,445","6,609",8,"19,904",_,49.45,0.00,17.31,33.20,0.04
P.73_N.49,PERAK,P.73,TELOK INTAN,N.49,PASIR BEDAMAR,"4,532",,"20,063","3,807",9,"28,411",_,15.95,0.00,70.62,13.40,0.03
P.73_N.50,PERAK,P.73,TELOK INTAN,N.50,CHANGKAT JONG,"11,806",,"2,677","6,770",4,"21,257",_,55.54,0.00,12.59,31.85,0.02
P.74_N.51,PERAK,P.74,TANJONG MALIM,N.51,SUNGKAI,"6,039",,"10,701","3,676",851,"21,267",_,28.40,0.00,50.32,17.28,4.00
P.74_N.52,PERAK,P.74,TANJONG MALIM,N.52,SLIM,"17,834",,"6,502","4,702",735,"29,773",_,59.90,0.00,21.84,15.79,2.47
P.75_N.1,PAHANG,P.75,LIPIS,N.1,CAMERON HIGHLANDS,"2,030",,"7,046","3,790",358,"13,224",_,15.35,0.00,53.28,28.66,2.71
P.75_N.2,PAHANG,P.75,LIPIS,N.2,JELAI,"5,022",,60,59,"2,861","8,002",_,62.76,0.00,0.75,0.74,35.75
P.75_N.3,PAHANG,P.75,LIPIS,N.3,PADANG TENGKU,"7,628",,358,447,7,"8,440",_,90.38,0.00,4.24,5.30,0.08
P.75_N.4,PAHANG,P.75,LIPIS,N.4,CEKA,"6,971",,"3,113",642,47,"10,773",_,64.71,0.00,28.90,5.96,0.44
P.76_N.5,PAHANG,P.76,RAUB,N.5,BENTA,"5,226",,"2,392","1,111",9,"8,738",_,59.81,0.00,27.37,12.71,0.10
P.76_N.6,PAHANG,P.76,RAUB,N.6,BATU TALAM,"7,722",,"1,272","1,086",2,"10,082",_,76.59,0.00,12.62,10.77,0.02
P.76_N.7,PAHANG,P.76,RAUB,N.7,TERAS,"4,599",,"12,969","1,908",133,"19,609",_,23.45,0.00,66.14,9.73,0.68
P.76_N.8,PAHANG,P.76,RAUB,N.8,DONG,"7,256",,"4,771",169,117,"12,313",_,58.93,0.00,38.75,1.37,0.95
P.77_N.9,PAHANG,P.77,JERANTUT,N.9,TAHAN,"8,546",,296,113,238,"9,193",_,92.96,0.00,3.22,1.23,2.59
P.77_N.10,PAHANG,P.77,JERANTUT,N.10,DAMAK,"8,220",,"6,213",713,318,"15,464",_,53.16,0.00,40.18,4.61,2.06
P.77_N.11,PAHANG,P.77,JERANTUT,N.11,PULAU TAWAR,"13,767",,38,203,32,"14,040",_,98.06,0.00,0.27,1.45,0.23
P.78_N.12,PAHANG,P.78,KUANTAN,N.12,BESERAH,"12,793",,"5,426",569,20,"18,808",_,68.02,0.00,28.85,3.03,0.11
P.78_N.13,PAHANG,P.78,KUANTAN,N.13,TERUNTUM,"10,255",,"10,614","1,414",10,"22,293",_,46.00,0.00,47.61,6.34,0.04
P.78_N.14,PAHANG,P.78,KUANTAN,N.14,INDERA MAHKOTA,"10,696",,"8,894","1,774",9,"21,373",_,50.04,0.00,41.61,8.30,0.04
P.79_N.15,PAHANG,P.79,PAYA BESAR,N.15,SUNGAI LEMBING,"8,531",,"2,867",238,31,"11,667",_,73.12,0.00,24.57,2.04,0.27
P.79_N.16,PAHANG,P.79,PAYA BESAR,N.16,LEPAR,"12,265",,"2,669",617,251,"15,802",_,77.62,0.00,16.89,3.90,1.59
P.79_N.17,PAHANG,P.79,PAYA BESAR,N.17,PENUR,"15,346",,"1,673",211,8,"17,238",_,89.02,0.00,9.71,1.22,0.05
P.80_N.18,PAHANG,P.80,PEKAN,N.18,KUALA PAHANG,"11,077",,812,212,48,"12,149",_,91.18,0.00,6.68,1.74,0.40
P.80_N.19,PAHANG,P.80,PEKAN,N.19,BEBAR,"8,081",,156,160,"1,175","9,572",_,84.42,0.00,1.63,1.67,12.28
P.80_N.20,PAHANG,P.80,PEKAN,N.20,CINI,"9,694",,69,41,336,"10,140",_,95.60,0.00,0.68,0.40,3.31
P.81_N.21,PAHANG,P.81,MARAN,N.21,LUIT,"5,961",,"1,836",214,55,"8,066",_,73.90,0.00,22.76,2.65,0.68
P.81_N.22,PAHANG,P.81,MARAN,N.22,HULU JEMPUL,"9,152",,868,306,58,"10,384",_,88.14,0.00,8.36,2.95,0.56
P.81_N.23,PAHANG,P.81,MARAN,N.23,JENGKA,"10,692",,24,295,0,"11,011",_,97.10,0.00,0.22,2.68,0.00
P.81_N.24,PAHANG,P.81,MARAN,N.24,CENUR,"8,906",,125,168,9,"9,208",_,96.72,0.00,1.36,1.82,0.10
P.82_N.25,PAHANG,P.82,MENTEKAB,N.25,JENDERAK,"8,641",,"1,232",734,801,"11,408",_,75.75,0.00,10.80,6.43,7.02
P.82_N.26,PAHANG,P.82,MENTEKAB,N.26,SANGGANG,"8,393",,"5,088",642,128,"14,251",_,58.89,0.00,35.70,4.50,0.90
P.82_N.27,PAHANG,P.82,MENTEKAB,N.27,LANCANG,"8,130",,"3,465","2,412",412,"14,419",_,56.38,0.00,24.03,16.73,2.86
P.83_N.28,PAHANG,P.83,BENTUNG,N.28,BILUT,,,,,,,_,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
P.83_N.29,PAHANG,P.83,BENTUNG,N.29,KETARI,,,,,,,_,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
P.83_N.30,PAHANG,P.83,BENTUNG,N.30,SABAI,,,,,,,_,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
P.83_N.31,PAHANG,P.83,BENTUNG,N.31,PELANGAI,,,,,,,_,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
P.84_N.32,PAHANG,P.84,TEMERLUH,N.32,SEMANTAN,"11,903",,"3,198",583,19,"15,703",_,75.80,0.00,20.37,3.71,0.12
P.84_N.33,PAHANG,P.84,TEMERLUH,N.33,TERIANG,"2,731",,"8,787",660,6,"12,184",_,22.41,0.00,72.12,5.42,0.05
P.84_N.34,PAHANG,P.84,TEMERLUH,N.34,GUAI,"8,251",,"1,302",510,345,"10,408",_,79.28,0.00,12.51,4.90,3.31
P.84_N.35,PAHANG,P.84,TEMERLUH,N.35,BERA,"6,041",,"3,082",616,610,"10,349",_,58.37,0.00,29.78,5.95,5.89
P.85_N.36,PAHANG,P.85,ROMPIN,N.36,BUKIT IBAM,"9,789",,127,216,863,"10,995",_,89.03,0.00,1.16,1.96,7.85
P.85_N.37,PAHANG,P.85,ROMPIN,N.37,MUADZAM SHAH,"8,172",,111,261,"1,103","9,647",_,84.71,0.00,1.15,2.71,11.43
P.85_N.38,PAHANG,P.85,ROMPIN,N.38,TIOMAN,"8,548",,850,43,457,"9,898",_,86.36,0.00,8.59,0.43,4.62
P.86_N.1,SELANGOR,P.86,SABAK BERNAM,N.1,SUNGAI AIR TAWAR,"7,939",,"1,882",686,1,"10,508",_,75.55,0.00,17.91,6.53,0.01
P.86_N.2,SELANGOR,P.86,SABAK BERNAM,N.2,SABAK,"7,534",,"1,817","1,019",0,"10,370",_,72.65,0.00,17.52,9.83,0.00
P.86_N.3,SELANGOR,P.86,SABAK BERNAM,N.3,SUNGAI BESAR,"10,135",,"3,017",320,3,"13,475",_,75.21,0.00,22.39,2.37,0.02
P.87_N.4,SELANGOR,P.87,TANJUNG KARANG,N.4,SUNGAI PANJANG,"11,572",,145,21,0,"11,738",_,98.59,0.00,1.24,0.18,0.00
P.87_N.5,SELANGOR,P.87,TANJUNG KARANG,N.5,SEKINCAN,"6,696",,"6,246",443,1,"13,386",_,50.02,0.00,46.66,3.31,0.01
P.87_N.6,SELANGOR,P.87,TANJUNG KARANG,N.6,SUNGAI BURUNG,"13,214",,"1,682",236,1,"15,133",_,87.32,0.00,11.11,1.56,0.01
P.88_N.7,SELANGOR,P.88,HULU SELANGOR,N.7,HULU BERNAM,"10,999",,"3,224","2,701",59,"16,983",_,64.76,0.00,18.98,15.90,0.35
P.88_N.8,SELANGOR,P.88,HULU SELANGOR,N.8,KUALA KUBU BAHARU,"3,992",,"8,132","3,308",307,"15,739",_,25.36,0.00,51.67,21.02,1.95
P.88_N.9,SELANGOR,P.88,HULU SELANGOR,N.9,BATANG KALI,"9,097",,"4,287","3,934",359,"17,677",_,51.46,0.00,24.25,22.25,2.03
P.89_N.10,SELANGOR,P.89,KUALA SELANGOR,N.10,PERMATANG,"10,316",,"4,389","3,303",0,"18,008",_,57.29,0.00,24.37,18.34,0.00
P.89_N.11,SELANGOR,P.89,KUALA SELANGOR,N.11,IJUK,"6,403",,"2,820","6,772",4,"15,999",_,40.02,0.00,17.63,42.33,0.03
P.89_N.12,SELANGOR,P.89,KUALA SELANGOR,N.12,JERAM,"10,376",,"2,376","1,930",5,"14,687",_,70.65,0.00,16.18,13.14,0.03
P.90_N.13,SELANGOR,P.90,SELAYANG,N.13,RAWANG,"5,001",,"13,528","4,482",3,"23,014",_,21.73,0.00,58.78,19.48,0.01
P.90_N.14,SELANGOR,P.90,SELAYANG,N.14,SELAYANG BAHARU,"14,945",,"7,675","3,277",8,"25,905",_,57.69,0.00,29.63,12.65,0.03
P.90_N.15,SELANGOR,P.90,SELAYANG,N.15,PAYA JARAS,"14,907",,"5,438","3,803",155,"24,303",_,61.34,0.00,22.38,15.65,0.64
P.91_N.16,SELANGOR,P.91,GOMBAK,N.16,SUNGAI TUA,"11,485",,"3,586","4,155",3,"19,229",_,59.73,0.00,18.65,21.61,0.02
P.91_N.17,SELANGOR,P.91,GOMBAK,N.17,GOMBAK SETIA,"19,299",,"3,012","1,805",405,"24,521",_,78.70,0.00,12.28,7.36,1.65
P.91_N.18,SELANGOR,P.91,GOMBAK,N.18,HULU KLANG,"16,086",,"3,331",645,82,"20,144",_,79.86,0.00,16.54,3.20,0.41
P.92_N.19,SELANGOR,P.92,AMPANG JAYA,N.19,AMPANG,"13,682",,"10,232","1,396",74,"25,384",_,53.90,0.00,40.31,5.50,0.29
P.92_N.20,SELANGOR,P.92,AMPANG JAYA,N.20,PANDAN,"15,664",,"9,379","2,170",55,"27,268",_,57.44,0.00,34.40,7.96,0.20
P.92_N.21,SELANGOR,P.92,AMPANG JAYA,N.21,LEMBAH JAYA,"16,751",,"7,201","2,680",65,"26,697",_,62.74,0.00,26.97,10.04,0.24
P.93_N.22,SELANGOR,P.93,HULU LANGAT,N.22,DUSUN TUA,"13,091",,"5,643","1,025",366,"20,125",_,65.05,0.00,28.04,5.09,1.82
P.93_N.23,SELANGOR,P.93,HULU LANGAT,N.23,KAJANG,"14,941",,"7,828","3,159",21,"25,949",_,57.58,0.00,30.17,12.17,0.08
P.93_N.24,SELANGOR,P.93,HULU LANGAT,N.24,BERANANG,"10,873",,"4,469","3,328",207,"18,877",_,57.60,0.00,23.67,17.63,1.10
P.94_N.25,SELANGOR,P.94,PJ UTARA,N.25,DAMANSARA UTAMA,"4,487",,"29,797","1,667",57,"36,008",_,12.46,0.00,82.75,4.63,0.16
P.94_N.26,SELANGOR,P.94,PJ UTARA,N.26,KAMPUNG TUNKU,"6,692",,"20,378","3,483",46,"30,599",_,21.87,0.00,66.60,11.38,0.15
P.95_N.27,SELANGOR,P.95,PJ SELATAN,N.27,BUKIT GASING,"4,403",,"23,830","4,378",193,"32,804",_,13.42,0.00,72.64,13.35,0.59
P.95_N.28,SELANGOR,P.95,PJ SELATAN,N.28,TAMAN MEDAN,"17,625",,"8,286","5,433",35,"31,379",_,56.17,0.00,26.41,17.31,0.11
P.96_N.29,SELANGOR,P.96,SERDANG,N.29,PUCUNG,"8,942",,"11,285","4,881",109,"25,217",_,35.46,0.00,44.75,19.36,0.43
P.96_N.30,SELANGOR,P.96,SERDANG,N.30,SRI KEMBANGAN,"1,182",,"17,258","1,172",2,"19,614",_,6.03,0.00,87.99,5.98,0.01
P.96_N.31,SELANGOR,P.96,SERDANG,N.31,BALAKONG,"6,693",,"12,485","1,197",5,"20,380",_,32.84,0.00,61.26,5.87,0.02
P.97_N.32,SELANGOR,P.97,SUBANG,N.32,BUKIT LANJAN,"7,964",,"6,683","4,555",290,"19,492",_,40.86,0.00,34.29,23.37,1.49
P.97_N.33,SELANGOR,P.97,SUBANG,N.33,KELANA JAYA,"14,974",,"3,021","7,219",9,"25,223",_,59.37,0.00,11.98,28.62,0.04
P.97_N.34,SELANGOR,P.97,SUBANG,N.34,SUBANG JAYA,"10,657",,"8,917","3,231",30,"22,835",_,46.67,0.00,39.05,14.15,0.13
P.98_N.35,SELANGOR,P.98,SHAH ALAM,N.35,BATU TIGA,"14,585",,"4,635","4,093",23,"23,336",_,62.50,0.00,19.86,17.54,0.10
P.98_N.36,SELANGOR,P.98,SHAH ALAM,N.36,SUNGAI RENGGAM,"16,662",,"7,167","5,727",30,"29,586",_,56.32,0.00,24.22,19.36,0.10
P.98_N.37,SELANGOR,P.98,SHAH ALAM,N.37,KOTA RAJA,"12,389",,"4,517","6,876",3,"23,785",_,52.09,0.00,18.99,28.91,0.01
P.99_N.38,SELANGOR,P.99,KAPAR,N.38,MERU,"11,326",,"5,629","3,094",1,"20,050",_,56.49,0.00,28.07,15.43,0.00
P.99_N.39,SELANGOR,P.99,KAPAR,N.39,SEMENTA,"12,614",,"6,438","3,142",4,"22,198",_,56.82,0.00,29.00,14.15,0.02
P.99_N.40,SELANGOR,P.99,KAPAR,N.40,SELAT KLANG,"13,788",,"7,319","1,927",77,"23,111",_,59.66,0.00,31.67,8.34,0.33
P.100_N.41,SELANGOR,P.100,KLANG,N.41,BANDAR KLANG,"4,018",,"27,700","6,112",18,"37,848",_,10.62,0.00,73.19,16.15,0.05
P.100_N.42,SELANGOR,P.100,KLANG,N.42,PELABUHAN KLANG,"14,456",,"14,666","6,680",10,"35,812",_,40.37,0.00,40.95,18.65,0.03
P.101_N.43,SELANGOR,P.101,KUALA LANGAT,N.43,SIJANGKANG,"12,781",,"1,509","3,450",327,"18,067",_,70.74,0.00,8.35,19.10,1.81
P.101_N.44,SELANGOR,P.101,KUALA LANGAT,N.44,TELUK DATUK,"4,853",,"7,754","3,437",457,"16,501",_,29.41,0.00,46.99,20.83,2.77
P.101_N.45,SELANGOR,P.101,KUALA LANGAT,N.45,MORIB,"9,299",,"4,703","2,955",154,"17,111",_,54.35,0.00,27.49,17.27,0.90
P.102_N.46,SELANGOR,P.102,SEPANG,N.46,BATU LAUT,"10,607",,"4,872","2,729",305,"18,513",_,57.29,0.00,26.32,14.74,1.65
P.102_N.47,SELANGOR,P.102,SEPANG,N.47,DENGKIL,"11,019",,"1,678","3,669",447,"16,813",_,65.54,0.00,9.98,21.82,2.66
P.102_N.48,SELANGOR,P.102,SEPANG,N.48,SUNGAI PELIK,"5,182",,"6,270","3,936",269,"15,657",_,33.10,0.00,40.05,25.14,1.72
P.113_N.1,NEGERI SEMBILAN,P.113,JELEBU,N.1,CHENNAH,"3,784",,"5,120",253,156,"9,313",_,40.63,0.00,54.98,2.72,1.68
P.113_N.2,NEGERI SEMBILAN,P.113,JELEBU,N.2,KLAWANG,"5,172",,"2,979",367,5,"8,523",_,60.68,0.00,34.95,4.31,0.06
P.113_N.3,NEGERI SEMBILAN,P.113,JELEBU,N.3,PERTANG,"6,332",,"1,879",669,330,"9,210",_,68.75,0.00,20.40,7.26,3.58
P.113_N.4,NEGERI SEMBILAN,P.113,JELEBU,N.4,SUNGAI LUI,"5,536",,"1,060","1,364",222,"8,182",_,67.66,0.00,12.96,16.67,2.71
P.114_N.5,NEGERI SEMBILAN,P.114,JEMPOL,N.5,SERTING,"7,201",,"2,758","1,145",2,"11,106",_,64.84,0.00,24.83,10.31,0.02
P.114_N.6,NEGERI SEMBILAN,P.114,JEMPOL,N.6,BAHAU,"3,797",,"9,526",596,1,"13,920",_,27.28,0.00,68.43,4.28,0.01
P.114_N.7,NEGERI SEMBILAN,P.114,JEMPOL,N.7,JERAM PADANG,"5,177",,"1,804","2,916",188,"10,085",_,51.33,0.00,17.89,28.91,1.86
P.114_N.8,NEGERI SEMBILAN,P.114,JEMPOL,N.8,PALONG,"8,503",,273,"1,472",24,"10,272",_,82.78,0.00,2.66,14.33,0.23
P.115_N.9,NEGERI SEMBILAN,P.115,TAMPIN,N.9,GEMAS,"7,419",,"1,797","1,012",0,"10,228",_,72.54,0.00,17.57,9.89,0.00
P.115_N.10,NEGERI SEMBILAN,P.115,TAMPIN,N.10,GEMENCHEH,"7,209",,"3,092","1,400",0,"11,701",_,61.61,0.00,26.43,11.96,0.00
P.115_N.11,NEGERI SEMBILAN,P.115,TAMPIN,N.11,REPAH,"4,128",,"4,815","1,907",14,"10,864",_,38.00,0.00,44.32,17.55,0.13
P.115_N.12,NEGERI SEMBILAN,P.115,TAMPIN,N.12,KOTA,"8,188",,"1,098",375,38,"9,699",_,84.42,0.00,11.32,3.87,0.39
P.116_N.13,NEGERI SEMBILAN,P.116,KUALA PILAH,N.13,JUASSEH,"6,772",,"1,019",493,80,"8,364",_,80.97,0.00,12.18,5.89,0.96
P.116_N.14,NEGERI SEMBILAN,P.116,KUALA PILAH,N.14,SENALING,"4,791",,"1,992",319,0,"7,102",_,67.46,0.00,28.05,4.49,0.00
P.116_N.15,NEGERI SEMBILAN,P.116,KUALA PILAH,N.15,JOHOL,"5,595",,"2,103",708,176,"8,582",_,65.19,0.00,24.50,8.25,2.05
P.116_N.16,NEGERI SEMBILAN,P.116,KUALA PILAH,N.16,PILAH,"6,482",,"2,775",906,0,"10,163",_,63.78,0.00,27.30,8.91,0.00
P.116_N.17,NEGERI SEMBILAN,P.116,KUALA PILAH,N.17,SERI MENANTI,"7,375",,409,16,31,"7,831",_,94.18,0.00,5.22,0.20,0.40
P.117_N.18,NEGERI SEMBILAN,P.117,SEREMBAN,N.18,NILAI,"2,617",,"7,445","2,239",60,"12,361",_,21.17,0.00,60.23,18.11,0.49
P.117_N.19,NEGERI SEMBILAN,P.117,SEREMBAN,N.19,LENGGENG,"6,313",,"1,848",810,139,"9,110",_,69.30,0.00,20.29,8.89,1.53
P.117_N.20,NEGERI SEMBILAN,P.117,SEREMBAN,N.20,SENAWANG,"8,865",,"4,341","2,948",5,"16,159",_,54.86,0.00,26.86,18.24,0.03
P.117_N.21,NEGERI SEMBILAN,P.117,SEREMBAN,N.21,AMPANGAN,"10,313",,"4,097","1,479",34,"15,923",_,64.77,0.00,25.73,9.29,0.21
P.117_N.22,NEGERI SEMBILAN,P.117,SEREMBAN,N.22,LOBAK,"1,577",,"13,039","2,355",4,"16,975",_,9.29,0.00,76.81,13.87,0.02
P.118_N.23,NEGERI SEMBILAN,P.118,RASAH,N.23,LABU,"5,322",,"1,676","2,238",123,"9,359",_,56.87,0.00,17.91,23.91,1.31
P.118_N.24,NEGERI SEMBILAN,P.118,RASAH,N.24,TEMIANG,"1,321",,"11,875","2,624",48,"15,868",_,8.32,0.00,74.84,16.54,0.30
P.118_N.25,NEGERI SEMBILAN,P.118,RASAH,N.25,RAHANG,"3,602",,"8,294","3,303",20,"15,219",_,23.67,0.00,54.50,21.70,0.13
P.118_N.26,NEGERI SEMBILAN,P.118,RASAH,N.26,MAMBAU,"2,326",,"12,067","2,703",16,"17,112",_,13.59,0.00,70.52,15.80,0.09
P.118_N.27,NEGERI SEMBILAN,P.118,RASAH,N.27,RANTAU,"7,052",,"3,249","2,731",0,"13,032",_,54.11,0.00,24.93,20.96,0.00
P.119_N.28,NEGERI SEMBILAN,P.119,TELOK KEMANG,N.28,CHEMBONG,"6,745",,"1,441","1,188",36,"9,410",_,71.68,0.00,15.31,12.62,0.38
P.119_N.29,NEGERI SEMBILAN,P.119,TELOK KEMANG,N.29,LINGGI,"6,378",,"2,246","1,840",0,"10,464",_,60.95,0.00,21.46,17.58,0.00
P.119_N.30,NEGERI SEMBILAN,P.119,TELOK KEMANG,N.30,PASIR PANJANG,"9,215",,"2,228","1,338",124,"12,905",_,71.41,0.00,17.26,10.37,0.96
P.119_N.31,NEGERI SEMBILAN,P.119,TELOK KEMANG,N.31,SI RUSA,"3,216",,"5,316","5,412",1,"13,945",_,23.06,0.00,38.12,38.81,0.01
P.119_N.32,NEGERI SEMBILAN,P.119,TELOK KEMANG,N.32,LUKUT,"2,362",,"9,700","3,396",0,"15,458",_,15.28,0.00,62.75,21.97,0.00
P.120_N.1,MELAKA,P.120,ALOR GAJAH,N.1,KUALA LINGGI,"5,499",,"2,240",169,1,"7,909",_,69.53,0.00,28.32,2.14,0.01
P.120_N.2,MELAKA,P.120,ALOR GAJAH,N.2,RAMUAN CHINA,"6,798",,404,134,0,"7,336",_,92.67,0.00,5.51,1.83,0.00
P.120_N.3,MELAKA,P.120,ALOR GAJAH,N.3,MELEKEK,"6,189",,"1,058",234,10,"7,491",_,82.62,0.00,14.12,3.12,0.13
P.120_N.4,MELAKA,P.120,ALOR GAJAH,N.4,MASJID TANAH,"7,629",,"1,884",393,3,"9,909",_,76.99,0.00,19.01,3.97,0.03
P.120_N.5,MELAKA,P.120,ALOR GAJAH,N.5,SUNGAI UDANG,"11,093",,"1,427",352,408,"13,280",_,83.53,0.00,10.75,2.65,3.07
