STATE,PARLIAMENT CODE,PARLIAMENT NAME,MALAY (%),CHINESE (%),INDIAN (%),OTHERS (%),IBAN (%),BIDAYUH (%),"KAYAN, KELABIT, KENYAH (%)"
SELANGOR,P.86,KAPAR,60,25.4,14.6,0,,,
SELANGOR,P.87,SELAYANG,51.4,32.8,14.8,1,,,
SELANGOR,P.88,AMPANG JAYA,68.5,25.9,4.6,1,,,
SELANGOR,P.89,HULU LANGAT,48.1,41.6,9.6,0.7,,,
SELANGOR,P.90,PETALING JAYA,27,61,10.6,1.4,,,
SELANGOR,P.91,PUCHONG,27.3,56.5,15,1.1,,,
SELANGOR,P.92,SHAH ALAM,57.6,17.3,24.7,0.4,,,
SELANGOR,P.93,KLANG,23.8,58.6,16.5,1.1,,,
SELANGOR,P.94,KUALA LANGAT,58.3,26.5,14.4,0.8,,,
SELANGOR,P.95,SEPANG,48.2,28.4,21.7,1.7,,,
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.96,KEPONG,10.3,80.6,8.5,0.6,,,
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.97,BATU,45.5,39.8,13.9,0.8,,,
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.98,TITIWANGSA,63.8,26.2,9.6,0.4,,,
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.99,BUKIT BINTANG,8.3,83.5,7.9,0.3,,,
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.100,LEMBAH PANTAI,56.4,26.6,15.4,1.7,,,
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.101,SEPUTEH,7.6,83.1,8.6,0.9,,,
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.102,SUNGAI BESI,31.4,59,8.7,0.9,,,
NEGERI SEMBILAN,P.103,JELEBU,56.5,34.1,6.5,2.9,,,
NEGERI SEMBILAN,P.104,JEMPOL,52.5,35.1,12.2,0.2,,,
NEGERI SEMBILAN,P.105,TAMPIN,64.5,24.4,10.6,0.2,,,
NEGERI SEMBILAN,P.106,KUALA PILAH,73.4,21.3,5.2,0.2,,,
NEGERI SEMBILAN,P.107,SEREMBAN,31,56.7,11.5,0.9,,,
NEGERI SEMBILAN,P.108,RASAH,26.9,49.3,22.8,1,,,
NEGERI SEMBILAN,P.109,TELOK KEMANG,50.2,28.9,20.3,0.7,,,
MELAKA,P.110,ALOR GAJAH,51.6,26.2,12.5,9.7,,,
MELAKA,P.111,SELANDAR,52.2,36.3,11.3,0.2,,,
MELAKA,P.112,BATU BERENDAM,58.5,36.4,4.7,0.4,,,
MELAKA,P.113,KOTA MELAKA,22.1,72,3.5,2.4,,,
MELAKA,P.114,JASIN,67.6,22.9,9.4,0,,,
JOHOR,P.115,SEGAMAT,42.1,50,7.8,0.1,,,
JOHOR,P.116,LEDANG,51.4,43.5,5.1,0,,,
JOHOR,P.117,PAGOH,62.7,32.5,4.8,,,,
JOHOR,P.118,LABIS,38.3,46.7,14.9,0.1,,,
JOHOR,P.119,MERSING,61.2,34.8,2.9,0.1,,,
JOHOR,P.120,KLUANG,,,,,,,
JOHOR,P.121,PARIT SULONG,,,,,,,
JOHOR,P.122,BAKRI,43.8,54.3,1.8,0,,,
JOHOR,P.123,MUAR,66.3,32,1.8,0,,,
JOHOR,P.124,SRI GADING,74.2,24.3,5,0,,,
JOHOR,P.125,BATU PAHAT,57,41.4,1.6,0,,,
JOHOR,P.126,SUNGAI BENUT,62.5,29.9,7.6,0,,,
JOHOR,P.127,SENAI,41.1,52.8,6.1,0,,,
JOHOR,P.128,KOTA TINGGI,72.2,23.4,4.4,0,,,
JOHOR,P.129,TEBRAU,55.1,34.1,10.7,0.1,,,
JOHOR,P.130,JOHOR BAHRU,50.9,6,8.3,0.3,,,
JOHOR,P.131,PULAI,55.9,38,6,1,,,
JOHOR,P.132,PONTIAN,52.2,46.8,1,0,,,
WILAYAH PERSEKUTUAN LABUAN,P.133,LABUAN,,,,,,,
SABAH,P.134,MARUDU,,,,,,,
SABAH,P.135,BANDAU,,,,,,,
SABAH,P.136,KOTA BELUD,,,,,,,
SABAH,P.137,TUARAN,,,,,,,
SABAH,P.138,KINABALU,,,,,,,
SABAH,P.139,JAMBONGAN,,,,,,,
SABAH,P.140,SANDAKAN,,,,,,,
SABAH,P.141,KINABATANGAN,,,,,,,
SABAH,P.142,KENINGAU,,,,,,,
SABAH,P.143,PENAMPANG,,,,,,,
SABAH,P.144,GAYA,,,,,,,
SABAH,P.145,TANJONG ARU,,,,,,,
SABAH,P.146,PAPAR,,,,,,,
SABAH,P.147,KIMANIS,,,,,,,
SABAH,P.148,LIMBAWANG,,,,,,,
SABAH,P.149,PADAS,,,,,,,
SABAH,P.150,PENSIANGAN,,,,,,,
SABAH,P.151,TAWAU,,,,,,,
