State,Parliamentary Code,Parliamentary Seat Name,DUN Code,DUN Name,Total Number of Electors (March 1967),Boundary Alteration,Name Alteration
PULAU PINANG,P.34,PAYA TERUBONG,N.7,AYER HITAM,8748,YES,
PULAU PINANG,P.34,PAYA TERUBONG,N.8,GELUGOR,9930,YES,
PULAU PINANG,P.34,PAYA TERUBONG,N.9,TAMAN HIJAU,9014,YES,
PULAU PINANG,P.35,DATOK KERAMAT,N.10,TANJONG BARAT,11619,YES,
PULAU PINANG,P.35,DATOK KERAMAT,N.11,SUNGAI PINANG,11997,YES,
PULAU PINANG,P.35,DATOK KERAMAT,N.12,TANJONG SELATAN,11390,YES,
PULAU PINANG,P.36,TANJONG,N.13,TANJONG UTARA,12111,YES,
PULAU PINANG,P.36,TANJONG,N.14,TANJONG TIMOR,12119,YES,
PULAU PINANG,P.36,TANJONG,N.15,KOTA,11459,YES,
PULAU PINANG,P.37,BUTTERWORTH,N.16,PENAGA,10490,YES,
PULAU PINANG,P.37,BUTTERWORTH,N.17,BAGAN AJAM,12235,YES,
PULAU PINANG,P.37,BUTTERWORTH,N.18,BAGAN JAYA,12524,YES,
PULAU PINANG,P.38,SEBERANG UTARA,N.19,SUNGAI DUA,9755,YES,
PULAU PINANG,P.38,SEBERANG UTARA,N.20,TASEK GELUGOR,9359,YES,
PULAU PINANG,P.38,SEBERANG UTARA,N.21,KUBANG SEMANG,8057,YES,
PULAU PINANG,P.39,SEBERANG TENGAH,N.22,PERMATANG PAUH,8668,YES,
PULAU PINANG,P.39,SEBERANG TENGAH,N.23,BUKIT MERTAJAM,12072,NO,
PULAU PINANG,P.39,SEBERANG TENGAH,N.24,ALMA,9232,YES,
PULAU PINANG,P.40,SEBERANG SELATAN,N.25,BATU KAWAN,7174,YES,
PULAU PINANG,P.40,SEBERANG SELATAN,N.26,SUNGAI BAKAP,7411,YES,
PULAU PINANG,P.40,SEBERANG SELATAN,N.27,NIBONG TEBAL,8323,YES,
PERAK,P.41,GERIK,N.1,GERIK,10358,YES,
PERAK,P.41,GERIK,N.2,LENGGONG,11379,YES,
PERAK,P.42,KERIAN BARAT,N.3,PARIT BUNTAR,12849,NO,
PERAK,P.42,KERIAN BARAT,N.4,KUALA KURAU,15121,NO,
PERAK,P.43,KERIAN TIMOR,N.5,BAGAN SERAI,14053,NO,
PERAK,P.43,KERIAN TIMOR,N.6,GUNONG SEMANGGOL,12833,NO,
PERAK,P.44,LARUT,N.7,SELAMA,14837,YES,
PERAK,P.44,LARUT,N.8,BATU KURAU,12991,YES,
PERAK,P.45,MATANG,N.9,PORT WELD,16521,YES,
PERAK,P.45,MATANG,N.10,TAIPING,18480,YES,
PERAK,P.46,KUALA KANGSAR,N.11,PADANG RENGAS,13365,YES,
PERAK,P.46,KUALA KANGSAR,N.12,SENGGANG,16001,YES,
PERAK,P.47,SUNGAI SIPUT,N.13,KARAI,10967,YES,
PERAK,P.47,SUNGAI SIPUT,N.14,JALONG,11082,NO,
PERAK,P.48,BERUAS,N.15,BUKIT GANTANG,16117,YES,
PERAK,P.48,BERUAS,N.16,PENGKALAN BAHARU,14138,YES,
PERAK,P.49,PARIT,N.17,BELANJA,12043,YES,
PERAK,P.49,PARIT,N.18,BOTA,11135,YES,
PERAK,P.50,KINTA,N.19,CHEMOR,15927,YES,
PERAK,P.50,KINTA,N.20,SUNGAI ROKAM,18101,YES,
PERAK,P.51,IPOH,N.21,IPOH LAMA,18101,YES,
PERAK,P.51,IPOH,N.22,IPOH BAHARU,18255,YES,
PERAK,P.52,MENGLEMBU,N.23,FALIM,18714,YES,
PERAK,P.52,MENGLEMBU,N.24,PASIR PUTEH,18072,YES,
PERAK,P.53,BATU GAJAH,N.25,SIPUTEH,17718,YES,
PERAK,P.53,BATU GAJAH,N.26,TANJONG TUALANG,17058,YES,
PERAK,P.54,KAMPAR,N.27,GOPENG,15661,YES,
PERAK,P.54,KAMPAR,N.28,KUALA DIPANG,18102,YES,
PERAK,P.55,DINDING,N.29,LUMUT,17457,YES,
PERAK,P.55,DINDING,N.30,SITIAWAN,14467,YES,
PERAK,P.56,PERAK HILIR,N.31,KAMPONG GAJAH,10055,YES,
PERAK,P.56,PERAK HILIR,N.32,SUNGAI MANIK,11791,YES,
PERAK,P.57,BATANG PADANG,N.33,TAPAH,10498,YES,
PERAK,P.57,BATANG PADANG,N.34,JALAN TAPAH,9740,YES,
PERAK,P.58,TELOK ANSON,N.35,MAK INTAN,16669,YES,
PERAK,P.58,TELOK ANSON,N.36,CHANGKAT JONG,14182,YES,
PERAK,P.59,BAGAN DATOK,N.37,RUNGKUP,12963,NO,
PERAK,P.59,BAGAN DATOK,N.38,HUTAN MELINTANG,11279,YES,
PERAK,P.60,TANJONG MALIM,N.39,BIDOR,10797,YES,
PERAK,P.60,TANJONG MALIM,N.40,SELIM,10997,YES,
